Reference,Value,Description,Qty,Manufacturer_Name,Manufacturer_Part_Number
C1,22u,Unpolarized capacitor,1,Murata Electronics,GRM21BC81C226ME44L
C2,100n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R7BB104
C3,47u,CAP CER 47UF 10V X5R 0805,1,Murata Electronics,GRM21BR61A476ME15L
C5,100n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R7BB104
C6,1.0n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R9BB102
C7,1.0n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R9BB102
C8,1.0n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R9BB102
C9,1.0n,Unpolarized capacitor,1,YAGEO,CC0402KRX7R9BB102
D1,LED,Light emitting diode,1,LITEON,LTST-C191KGKT
D2,LED,Light emitting diode,1,LITEON,LTST-C191KGKT
J1,U.FL-R-SMT_10_,"U.FL (UMCC) Connector Receptacle, Male Pin 50 Ohms Surface Mount Solder",1,Hirose,U.FL-R-SMT(10)
Q1,NTK3139PT5G,"P-channel Switch with Low RDS(on); 44% Smaller Footprint and 38% Thinner than SC-89; Low Threshold Levels, 1.5 V RDS(on) Rating; RoHS Compliant; Operated at Low Logic Level Gate Drive",1,onsemi,NTK3139PT5G
Q2,NTK3043NT1G,"Enables High Density PCB Manufacturing; 44% Smaller Footprint than SC-89 and 38% Thinner than SC-89; Low Voltage Drive Makes this Device Ideal for Portable Equipment; Low Threshold Levels, VGS(TH) < 1.3 V; Low Profile (< 0.5 mm) Allows It to Fit Easily in Extremely Thin Environments such as Protable Electronics.; Operated at Standard Logic Level Gate Drive, Facilitating Future Migration to Lower Levels Using the Same Basic Topolgy.",1,onsemi,NTK3043NT1G
R1,1.0k,Resistor,1,Vishay,CRCW04021K00FKEDC
R10,10k,Resistor,1,Vishay,CRCW040210K0FKED
R11,10k,Resistor,1,Vishay,CRCW040210K0FKED
R12,10k,Resistor,1,Vishay,CRCW040210K0FKED
R13,10k,Resistor,1,Vishay,CRCW040210K0FKED
R2,2.2k,Resistor,1,Vishay,CRCW04022K20FKED
R3,1.0k,Resistor,1,Vishay,CRCW04021K00FKEDC
R4,1.0k,Resistor,1,Vishay,CRCW04021K00FKEDC
R5,0,Resistor,1,Vishay,CRCW04020000Z0EDC
R6,0,Resistor,1,Vishay,CRCW04020000Z0EDC
R7,4k7,Resistor,1,Vishay,CRCW04024K70FKED
R8,4k7,Resistor,1,Vishay,CRCW04024K70FKED
R9,10k,Resistor,1,Vishay,CRCW040210K0FKED
U1,mosaic-G5 T,,1,Septentrio,410504
U2,TLV3511DCKR,"Comparator General Purpose Push-Pull, Rail-to-Rail SC-70-5 ,2.7V ~ 5.5V ,85mA @ 5V ,2.3mV ,-40C ~ 125C ,SC-70-5",1,Texas Instruments,TLV3511DCKR
U5,SN74LVC1G3157DRLR,"Single-Pole, Double-Throw Analog Switch",1,Texas Instruments,SN74LVC1G3157DRLR
Y1,RV-3032-C7,Real-Time Clock Module,1,Micro Crystal AG,RV-3032-C7 32.768kHz-2.5PPM-TA-QC
